Gabon,GAB,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
United Kingdom,GBR,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,14.58147
Georgia,GEO,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.09145
Ghana,GHA,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,10.77206
Gibraltar,GIB,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Guinea,GIN,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
"Gambia, The",GMB,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Guinea-Bissau,GNB,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Equatorial Guinea,GNQ,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Greece,GRC,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.08302
Grenada,GRD,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,13.86791
Greenland,GRL,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Guatemala,GTM,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,9.41088
Guam,GUM,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Guyana,GUY,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
High income,HIC,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.62362
"Hong Kong SAR, China",HKG,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.71181
Honduras,HND,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,8.68234
Heavily indebted poor countries (HIPC),HPC,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,8.75797
Croatia,HRV,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.0098
Haiti,HTI,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Hungary,HUN,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.19601
IBRD only,IBD,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.04215
IDA & IBRD total,IBT,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,10.21899
IDA total,IDA,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,8.71466
IDA blend,IDB,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,8.36015
Indonesia,IDN,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.56727
IDA only,IDX,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,8.89705
Isle of Man,IMN,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
India,IND,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,10.59001
Ireland,IRL,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,13.91213
"Iran, Islamic Rep.",IRN,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.45181
Iraq,IRQ,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Iceland,ISL,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,15.10381
Israel,ISR,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.59306
Italy,ITA,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,13.16206
Jamaica,JAM,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,9.5094
Jordan,JOR,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Japan,JPN,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Kazakhstan,KAZ,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.99107
Kenya,KEN,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Kyrgyz Republic,KGZ,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,10.52236
Cambodia,KHM,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Kiribati,KIR,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
